Old Ref ID,Ref,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,status,mw
,6845,12/12/2018,AES Kilroot Power (AES KPL),AES Kilroot Station Battery Storage Array,Battery,Co-located with fossil fuel plant,,10.00,,,,,,,,,Operational,Operational,Carrickfergus,Co. Antrim,Northern Ireland,Northern Ireland,BT38 7LX,157517,543117,Northern Ireland Planning Service,,,,,,,,,,,,,,,,,,,18/11/2015,18/01/2016,,operation,10
,6898,03/01/2019,Statera Energy/ InfraRed Capital,Pelham,Battery,Stand-alone Storage,,49.00,,,,,,,,,Operational,Operational,"LAND NORTH OF PELHAM SUBSATION AND SOUTH OF BERDEN ROAD, BERDEN, BISHOP�S STORTFORD, ",Essex,Eastern,England,CM23 1BA,545779,228669,Uttlesford District Council,UTT/16/2316/FUL,,,,,,16/08/2016,,,,,,,18/10/2016,,,,18/10/2019,15/01/2017,15/06/2017,,operation,49
,6906,21/03/2019,E.ON UK,Blackburn Meadows ,Battery,Co-located with RE,166,10.00,,,,,,,,,Operational,Operational,"Blackburn Meadows in Sheffield, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,S9 1HF,440075,391650,Sheffield City Council,,,,,,,,,,,,,,,,,,,07/04/2017,09/10/2017,,operation,10
,6910,18/04/2019,Renewable Energy Systems (RES),Broxburn ,Battery,Stand-alone Storage,,20.00,,,,,,,,,Operational,Operational,"Land at Lookabootye, by Broxburn, adjacent to the Lookabootye substation.
",West Lothian,Scotland,Scotland,,309143,670530,West Lothian Council,LIVE/0502/FUL/16,PPA-400-2073,,,,,03/08/2016,,25/11/2016,15/12/2016,,,06/03/2017,06/03/2017,,,,,15/08/2017,15/09/2018,,operation,20
,6911,20/01/2020,Anesco (formerly owned by Energy Reservoirs),Land to the west of Clay Hill Pit / Larport Farm,Battery,Stand-alone Storage,,20.00,,,,,,,,,Operational,Operational,Land West of Clay Hill Pit Larport Farm Larport Lane Dormington Herefordshire ,Hereford and Worcester,West Midlands,England,HR1 4EP,357450,239700,Herefordshire Council,P162400/F,,,,,,23/08/2016,,,,,,,18/11/2016,,,,,01/01/2019,01/01/2020,,operation,20
,6912,30/11/2018,Centrica,Roosecote,Battery,Stand-alone Storage,,49.00,,,,,,,,,Operational,Operational,"Roosecote coal and gas-fired power station, Barrow-in-Furness, Cumbria, UK, ",Cumbria,North West,England,LA13 0PQ,322288,468359,Barrow in Furness Borough Council,,,,,,,,,,,,,,,,,,,01/03/2017,30/11/2018,,operation,49
,6915,15/03/2019,Anesco/ Green Hedge Energy UK,Hill Farm - Energy Barn,Battery,Stand-alone Storage,,10.00,,,,,,,,,Operational,Operational,"Hill Farm, Spring Lane, Packington, Ashby de la Zouch, Leicestershire
",Leicestershire,East Midlands,England,LE65 1WU,436639,314607,North West Leicestershire District Council,16/00735/FUL,,,,,,22/06/2016,,,,,,,17/08/2016,,,,,15/12/2016,31/03/2017,,operation,10
,6916,15/03/2019,Anesco/ Green Hedge Energy UK,Kings Barn Farm - Energy Barn,Battery,Stand-alone Storage,,10.00,,,,,,,,,Operational,Operational,"Kings Barn Farm, Steyning, West Sussex",West Sussex,South East,England,BN44 3YR,518460,111380,Horsham District Council,DC/16/1648,,,,,,22/07/2016,,,,,,,04/10/2016,,,,,15/12/2016,31/03/2017,,operation,10
,6917,11/12/2018,Eelpower,Leverton Farm - Energy Barn,Battery,Stand-alone Storage,,10.00,,,,,,,,,Operational,Operational,"Leverton Farm, Birch Holt Farm, Burton Lincoln, Lincoln
",Lincolnshire,East Midlands,England,LN1 2RD,495886,374623,Lincolnshire County Council,,,,,,,,,,,,,,,,,,,01/11/2017,01/01/2018,,operation,10
,6918,09/05/2019,Hazel Capital/ Noriker Power,Noriker Power Staunch,Battery,Co-located with fossil fuel plant,,20.00,,,,,,,,,Operational,Operational,"Holditch House, Holditch Road, Chesterton",Staffordshire,West Midlands,England,ST5 9JQ,383781,348429,Newcastle Under Lyme Borough Council,16/00242/FUL,,,,,,24/03/2016,,,,,,,19/05/2016,,,,,15/12/2016,15/03/2017,,operation,20
,6920,27/11/2018,EDF Energy Renewables,West Burton,Battery,Co-located with fossil fuel plant,,49.00,,,,,,,,,Operational,Operational,West Burton Power Station North Road West Burton Retford Nottinghamshire ,Nottinghamshire,East Midlands,England,DN22 9BL,480060,385968,Bassetlaw District Council,16/00954/FUL,,,,,,11/07/2016,,,,,,,30/09/2016,,,,,25/01/2018,25/06/2018,,operation,49
,6925,03/08/2018,Enel (formerly Element Power),Tynemouth Energy Storage System (TESS),Battery,Stand-alone Storage,,25.00,,,,,,,,,Operational,Operational,Newcastle,Tyne and Wear,North East,England,NE27 0NB,431864,570273,North Tyneside Council,16/01451/FUL,,,,,,08/09/2016,,,,,,,12/10/2016,,,,12/10/2019,20/12/2018,25/05/2018,,operation,25
,6926,28/03/2017,Belectric UK / Foresight,Nevendon,Battery,Stand-alone Storage,,10.00,,,,,,,,,Operational,Operational,"Nevendon, Essex",Essex,Eastern,England,SS14 3JH,572912,191225,Essex County Council,,,,,,,,,,,,,,,,,,,15/10/2018,15/03/2018,,operation,10
,6927,03/01/2019,Vattenfall,Pen y Cymoedd Energy Storage,Battery,Co-located with RE,4595,22.00,,,,,,,,,Operational,Operational,"Pen y Cymoedd, Neath Port Talbot ",Neath Port Talbot,Wales,Wales,SA13 3HF,282793,196557,Neath Port Talbot County Borough Council,,,,,,,,,,,,,,,,,,,01/11/2017,01/05/2018,,operation,22
,6941,27/05/2020,Federal Estates,Chelveston Renewable Energy Park,Battery,Stand-alone Storage,,20.00,,,,,,,,,Under Construction,Under Construction,"Chelveston Renewable Energy Pa, The Airfield, Chelveston, Wellingborough,�Northamptonshire",Northamptonshire,East Midlands,England,NN9 6AR,500254,269084,East Northamptonshire Council,17/00784/FUL,,,,,,20/04/2017,,,,,,,15/06/2017,,,,,01/07/2019,,,construction,20
,6945,26/11/2019,Zenobe (formerly Energy Reservoir 15),Claredown Farm,Battery,Stand-alone Storage,,20.00,,,,,,,,,Operational,Operational,"Land at Claredown Farm, Hickford Hill, Belchamp St Paul
",Essex,Eastern,England,CO10 7DW,578833,244577,Braintree District Council,17/00583/FUL,,,,,,04/04/2017,,,,,,,05/06/2017,,,,,01/09/2017,27/02/2018,,operation,20
,6914,25/08/2020,Anesco/ Green Hedge Energy UK,Breach Farm - Energy Barn,Battery,Stand-alone Storage,,40.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Breach Farm, Caldwell, Swadlincote, Derbyshire",Derbyshire,East Midlands,England,DE12 6RJ,426427,318855,South Derbyshire District Council,9/2017/0541,,,,,,18/05/2017,,,,,,,15/08/2017,,,,,,,,planning,40
102,6923,21/08/2020,Statera Energy/ InfraRed Capital,Norton,Battery,Stand-alone Storage,,49.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land just north of the railway line, High Middlefield Farm, Durham Road, Thorpe Thewles,",County Durham,North East,England,TS21 3LS,441440,522394,Stockton on Tees Borough Council,16/1978/FUL,,,,,,28/07/2016,,,,,,,03/11/2016,,,,,,,,planning,49
,6929,28/04/2020,UK Power Reserve,Traston Road,Battery,Co-located with fossil fuel plant,,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land East Of Clarke Energy Production, Traston Road, Newport",Gwent,Wales,Wales,NP19 4PW,333094,185913,Newport City Council,16/0855,,,,,,19/08/2016,,,,,,,03/11/2016,,,,03/11/2021,,,,planning,20
,6930,28/04/2020,UK Power Reserve,Bristol Road,Battery,Co-located with fossil fuel plant,,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,NGPlot 6 Bristol Road Gloucester ,Gloucestershire,South West,England,GL2 5YA,381828,215977,Gloucester City Council,16/01044/FUL,,,,,,30/08/2016,,,,,,,26/10/2016,,,,,,,,planning,20
,6932,28/04/2020,UK Power Reserve,Asfordby Business Park (1),Battery,Co-located with fossil fuel plant,,23.40,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Zone P, Asfordby Business Park, Welby Road, Melton Mowbray, Leicestershire, ",Leicestershire,East Midlands,England,LE14 3JL,472654,320733,Melton Borough Council,16/00522/FUL,,,,,,01/08/2016,,,,,,,30/09/2016,,,,30/09/2019,,,,planning,23
,6961,31/01/2019,Aura Power,Lockleaze Energy Storage,Battery,Stand-alone Storage,,15.00,,,,,,,,,Operational,Operational,"Land at the SWEB Estate, Romney Avenue, Lockleaze, Bristol",Avon,South West,England,BS7 9ST,360403,176373,Bristol City Council,17/01147/F,,,,,,10/03/2017,,,,,,,05/05/2017,,,,,01/06/2017,01/12/2017,,operation,15
,6942,27/05/2020,Enstor Power UK,Tofts Lane,Battery,Stand-alone Storage,,40.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Tofts Lane, Snowden Hill, Barnsley",South Yorkshire,Yorkshire and Humber,England,S36 8YR,425805,400394,Barnsley Metropolitan Borough Council,2017/0624,,,,,,03/05/2017,,,,,,,07/09/2017,,,,,,,,planning,40
,6976,09/05/2019,Foresight,Port of Tyne,Battery,Stand-alone Storage,,35.00,,,,,,,,,Operational,Operational,"Port of Tyne, Tyne Dock, South Shields, Tyne & Wear",Tyne and Wear,North East,England,NE34 9PT,434923,564875,South Tyneside Metropolitan Borough Council,ST/0867/16/FUL�,,,,,,07/09/2016,,,,,,,21/10/2016,,,,,01/04/2018,01/07/2018,,operation,35
,6943,21/09/2020,Vattenfall Wind Power,Ray Battery Storage Facility,Battery,Co-located with RE,4026,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Ray Wind Farm, Kirkwhelpington, Newcastle Upon Tyne, Northumberland",Northumberland,North East,England,NE19 2RG,395129,585703,Northumberland County Council,17/01923/RENE,,,,,,30/05/2017,,,,,,,25/07/2017,,,,25/07/2022,,,,planning,20
,6944,25/08/2020,Green Hedge Energy UK,Pikelaw Place,Battery,Stand-alone Storage,,10.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land at Pikelaw Place, Skelmersdale, Lancashire",Lancashire,North West,England,WN8 9PP,349208,404425,West Lancashire Borough Council,2017/0563/FUL�,,,,,,24/05/2017,,,,,,,21/07/2017,,,,,,,,planning,10
,6946,26/02/2020,Spencer Farm Produce,The Hollies,Battery,Co-located with RE,1622,24.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"The Hollies, High Lane, Croft",Lincolnshire,East Midlands,England,PE24 4SH,549998,363104,East Lindsey District Council,S/039/00841/17,,,,,,12/05/2017,,,,,,,17/07/2017,,,,,,,,planning,24
132,6952,21/08/2020,Statera Energy / Minety North Storage,Minety North,Battery,Stand-alone Storage,,50.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,Land North of Minety Substation Minety,Wiltshire,South West,England,SN16 9RP�,400916,189181,Wiltshire Council,17/03936/FUL,,,,,,09/05/2017,,,,,,,20/07/2017,,,,,,,,planning,50
,6953,21/08/2020,Statera Energy / Melksham East Storage,Melksham Substation East Storage,Battery,Stand-alone Storage,,50.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,Land to the south of Melksham Substation Westlands Farm Westlands Lane Whitley Melksham,Wiltshire,South West,England,SN12 7QG,389389,166695,Wiltshire Council,17/04110/FUL,,,,,,10/05/2017,,,,,,,28/09/2017,,,,,,,,planning,50
,7000,20/01/2020,Gridserve Energy Storage,Slamseys Energy Storage,Battery,Stand-alone Storage,,10.00,,,,,,,,,Under Construction,Under Construction,"Land North Of Slamseys Farm, Blackley Lane, Great Notley, Essex",Essex,Eastern,England,CM77 7QW,573901,219919,Braintree District Council,17/01235/FUL,,,,,,06/07/2017,,,,,,,26/10/2017,,,,,13/01/2020,,,construction,10
,6955,21/08/2020,Statera Energy / Melksham West Storage,Melksham Substation West Storage,Battery,Stand-alone Storage,,50.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land to the south west of Melksham Substation, Westlands Farm, Westlands Lane, Whitley",Wiltshire,South West,England,SN12 7QG,389389,166695,Wiltshire Council,17/04116/FUL,,,,,,10/05/2017,,,,,,,28/09/2017,,,,,,,,planning,50
,6958,07/04/2021,RNA Energy,Norwich Road Industrial Estate,Battery,Stand-alone Storage,,40.00,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Land Within Norwich Road Industrial Estate West Of Sub Station And North Of Halesworth Business Park Norwich Road Halesworth Suffolk,Suffolk,Eastern,England,IP19 8QJ,639014,278928,Suffolk Coastal District Council,DC/17/0161/FUL,,,,,,16/01/2017,,,,,,,28/02/2017,,,,28/02/2020,,,,planning,40
,7003,12/01/2021,UK Power Reserve,Land off Queenborough Road,Battery,Stand-alone Storage,,40.00,No,,,,,,,,Under Construction,Under Construction,"Land Adjacent To 9 Neatscourt Cottages, Queenborough Road, Halfway, Kent",Kent,South East,England,ME12 3RJ,592600,171381,Swale Borough Council,17/503032/FULL,,,,,,08/06/2017,,,,,,,30/10/2018,,,,30/10/2021,01/12/2019,,,construction,40
,6977,21/08/2020,Statera Energy,Wolverhampton West Sub Station,Battery,Stand-alone Storage,,50.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land East of West Wolverhampton West Sub Station, Langley Road, Wolverhampton",Staffordshire,West Midlands,England,WV3 8EA,387595,297280,South Staffordshire Council,16/00747/FUL,,,,,,22/08/2016,,,,,,,21/10/2016,,,,,,,,planning,50
,6981,15/08/2019,ENGIE Renewables,Former Rugeley Power Station,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land at Rugeley Power Station, Armitage Road, Rugeley, Staffordshire",Staffordshire,West Midlands,England,WS15 1PR,405398,317702,Cannock Chase Council,CH/17/214,,,,,,25/05/2017,,,,,,,31/08/2017,,,,,,,,planning,49
,7015,21/08/2020,Community Wind Power,Aikengall II Community Wind Farm Battery,Battery,Co-located with RE,4332,80.00,,,,,4.20,19,145.00,,Planning Permission Granted,Awaiting Construction,"Aikengall II Community Wind Fa, Innerwick, Dunbar, Lothian",East Lothian,Scotland,Scotland,EH42 1,367967,668389,East Lothian Council,18/00865/P,,,,,,10/01/2018,,,,,,,04/07/2019,,,,04/07/2022,,,,planning,80
,6984,23/03/2020,Aura Power / South East Grid Storage Two,Rayleigh Transforming Station,Battery,Stand-alone Storage,,10.80,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Rayleigh Transforming Station, High Mead, Rayleigh, Essex",Essex,Eastern,England,SS6 7AW,579617,190593,Rochford District Council,17/00437/FUL,,,,,,02/05/2017,,,,,,,08/11/2017,,,,08/11/2020,,,,planning,10
,7020,30/07/2020,Green Energy International,Bilbo Solar Farm Energy Storage ,Battery,Co-located with RE,6736,40.00,,,,,,,,,Under Construction,Under Construction,"Land At Bilbo Solar Farm, Moss-side, Crimond, Fraserburgh, Grampian",Aberdeen,Scotland,Scotland,AB43 8QJ,405327,855492,Aberdeenshire Council,APP/2019/0296,,,,,,26/06/2019,,,,,,,20/09/2019,,,,,01/12/2020,,,construction,40
,7001,25/06/2020,Renewable Energy Systems (RES),Stony Energy Storage Facility,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land to the south west of Stony Stratford Substation, south of Stratford Road, Milton Keynes",Buckinghamshire,South East,England,MK19 6DZ,477740,236134,Aylesbury Vale District Council,17/02259/APP,,,,,,14/07/2017,,,,,,,12/10/2017,,,,,,,,planning,49
,7002,17/09/2021,Renewable Energy Systems (RES),Roaring Hill Energy Storage Facility,Battery,Stand-alone Storage,,19.90,No,,,,,,,,Planning Permission Granted,Awaiting Construction,Land To East Of Balsillie Avenue And To The South Of The Limekilns Glenrothes Fife,Fife,Scotland,Scotland,KY6 3QH,325596,702254,Fife Council,21/01438/FULL,,,,,,25/05/2021,,,,,,,03/09/2021,,,,,,,,planning,19
,7005,13/06/2019,Harmony Energy Storage,Creyke Substation,Battery,Stand-alone Storage,,49.50,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land South East Of Lawns Farm, Park Lane, Cottingham, East Riding Of Yorkshire",Humberside,Yorkshire and Humber,England,HU16 5SB,504478,435057,East Riding of Yorkshire Council,17/01993/STPLF,,,,,,06/04/2017,,,,,,,17/11/2017,,,,,,,,planning,49
,7007,04/06/2020,Max Design Consultancy,Aven Industrial Estate,Battery,Stand-alone Storage,,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Aven Industrial Estate, Tickhill Road, Maltby",South Yorkshire,Yorkshire and Humber,England,S66 7QR,455593,392111,Rotherham Metropolitan Borough Council,RB2017/0910,,,,,,16/06/2017,,,,,,,19/06/2018,,,,,,,,planning,20
,7011,29/04/2020,Hall Farm Energy,Litchlake Farm,Battery,Co-located with fossil fuel plant,,10.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land Adjacent To Henwood Farm Land At Litchlake Farm, Adjacent To Henwood Farm, Buckingham Road, Silverstone",Buckinghamshire,South East,England,NN12 8TJ,466365,242159,Aylesbury Vale District Council,17/02081/APP,,,,,,31/05/2017,,,,,,,07/12/2017,,,,,,,,planning,10
,7014,12/02/2020,Arlington Energy (formerly Enso Energy),Ravensroost Farm,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land Adjacent Ravensroost Farm, Minety, Malmesbury, Wiltshire",Wiltshire,South West,England,SN16 9RJ,403012,188462,Wiltshire Council,18/04914/FUL,,,,,,15/06/2018,,,,,,,10/10/2018,,,,,,,,planning,49
,7017,02/01/2020,Drax Group,Drax Re-Power,Battery,Co-located with fossil fuel plant,,200.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"New Road, Drax, Selby, North Yorkshire",North Yorkshire,Yorkshire and Humber,England,YO8 8PH,466381,426676,The Planning Inspectorate - National Infrastructure,,,,,,,27/06/2018,,,,,,,04/10/2019,,,,,,,,planning,200
,7018,24/07/2020,Capbal,STOR Field 9,Battery,Stand-alone Storage,,37.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land East of North Road, Inverkeithing, Dunfermline, Fife",Fife,Scotland,Scotland,KY11 1HT,313196,683767,Fife Council,18/01583/PPP,,,,,,09/06/2018,,,,,,,06/12/2018,,,,06/12/2021,,,,planning,37
,7019,27/05/2020,Thurcroft Energy (Max Design Consultancy),Nether Moor Field,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Nether Moor Field, Green Lane, Thurcroft, Rotherham, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,S66,448748,389630,Rotherham Metropolitan Borough Council,RB2017/1426,,,,,,29/09/2017,,,,,,,22/11/2019,,,,,,,,planning,49
,7021,17/09/2020,Pivot Power,Norwich Substation Storage Facility,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Norwich Main Substation, Mangreen Hall Lane, Dunston, Norwich, Norfolk",Norfolk,Eastern,England,NR14 8PG,622065,302336,South Norfolk Council,2018/2017,,,,,,09/11/2018,,,,,,,15/11/2018,,,,15/11/2021,,,,planning,49
,7024,27/05/2020,Public Power Solutions,Mannington Battery Storage Plant,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Mannington Depot Telford Way, Service Road, Mannington, Swindon, Wiltshire",Wiltshire,South West,England,SN5 8WA,412926,183867,Swindon Borough Council,S/17/1879,,,,,,21/11/2017,,,,,,,28/02/2018,,,,,,,,planning,49
,7026,22/01/2020,Immersa / Kirkby Battery Storage 2,"Charleywood Road, Knowsley Industrial Park",Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land At Eldapoint, Charleywood Road, Knowsley Industrial Park, Liverpool, Merseyside",Merseyside,North West,England,L33 7SG,343170,398252,Knowsley Metropolitan Borough Council,17/00649/FUL,,,,,,26/10/2017,,,,,,,21/12/2017,,,,,,,,planning,49
,7044,21/08/2020,Statera Energy / Enderby Storage,"Enderby Storage, Redcomb Farm",Battery,Stand-alone Storage,,49.90,,,,,,,,,Under Construction,Under Construction,"Land Opposite Redcomb Farm, Desford Road, Lubbesthorpe, Leicester, Leicestershire",Leicestershire,East Midlands,England,LE19 4AD,452711,300246,Blaby District Council,17/1223/FUL,,,,,,13/10/2017,,,,,,,20/12/2017,,,,,01/04/2021,,,construction,49
,7029,04/06/2020,Lancaster Power,Middleton Clean Energy Plant,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Middleton Clean Energy Plant, Middleton Road, Heysham, Morecambe, Lancashire, LA3 2",Lancashire,North West,England,LA32,341454,460919,Lancaster City Council,18/01203/FUL,,,,,,01/10/2018,,,,,,,17/01/2020,,,,17/01/2023,,,,planning,49
,7047,23/06/2020,Low Carbon Storage Ireland,Portadown Road,Battery,Stand-alone Storage,,50.00,,,,,,,,,Under Construction,Under Construction,"Land @ & 100m S/E of, 87 Portadown Road, Immediately adjacent to NIE, Craigavon, Co Armagh",Co. Armagh,Northern Ireland,Northern Ireland,BT62 2BB,112456,506231,Northern Ireland Planning Service,LA08/2018/0851/F,,,,,,18/06/2018,,,,,,,21/09/2018,,,,20/09/2023,15/01/2020,,,construction,50
,7050,03/03/2020,Low Carbon Storage Ireland,Dungannon Energy Storage System,Battery,Stand-alone Storage,,50.00,,,,,,,,,Under Construction,Under Construction,"77a Ballynakilly Road, Dungannon, Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,BT71 6HG,97523,523089,Northern Ireland Planning Service,LA09/2018/0803/F,,,,,,05/06/2018,,,,,,,08/10/2018,,,,07/10/2023,01/12/2019,,,construction,50
,7032,27/05/2020,Energy Demand and Response,Leighton Hall Farm,Battery,Stand-alone Storage,,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Leighton Hall Farm, Middlewich Road, Leighton, Crewe, Cheshire",Cheshire,North West,England,CW1 4QH,367911,357227,Cheshire East Council,17/4941N,,,,,,27/09/2017,,,,,,,20/11/2017,,,,,,,,planning,20
,7035,04/06/2020,Lark Gas Assets,Manton Wood,Battery,Co-located with fossil fuel plant,,10.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land At Former Manton Colliery, Retford Road, Worksop, Nottinghamshire",Nottinghamshire,East Midlands,England,S80 2PU,460758,378442,Bassetlaw District Council,17/01303/FUL,,,,,,09/10/2017,,,,,,,04/12/2017,,,,,,,,planning,10
,7036,24/06/2020,Cory Riverside Energy,Riverside Energy Park,Battery,Co-located with RE,6535,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Norman Road, Bexley, London",London,London,England,DA17 6JY,549545,180595,The Planning Inspectorate - National Infrastructure,EN010093,,,,,,16/11/2018,,,,,,,09/04/2020,,,,,,,,planning,20
,7039,30/07/2020,AMPY Energy Services,Salt End Lane,Battery,Co-located with fossil fuel plant,,49.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land at Salt End Chemicals Park, Saltend Lane, Preston, Hull, Humberside",Humberside,Yorkshire and Humber,England,HU12 8PP,516413,428413,East Riding of Yorkshire Council,17/03771/STPLF,,,,,,10/11/2017,,,,,,,12/12/2017,,,,,,,,planning,49
,7041,22/01/2020,Immersa,Fraserburgh Development,Battery,Stand-alone Storage,,25.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land To South East Of Hillcres, Fraserburgh, Grampian",Aberdeen,Scotland,Scotland,AB43 6 ,398525,864618,Aberdeenshire Council,APP/2018/0488,,,,,,16/03/2018,,,,,,,31/05/2018,,,,,,,,planning,25
,7043,12/08/2020,Enstor (formerly CJ Energy),Land To The East Of Wholeflats Road (Grangemouth),Battery,Stand-alone Storage,,20.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Unit 2, Land To The East Of, Wholeflats Road, Grangemouth, Central",Falkirk,Scotland,Scotland,FK3 9UY,293973,679925,Falkirk Council,P/18/0201/FUL,,,,,,11/04/2018,,,,,,,17/07/2018,,,,,,,,planning,20
,7048,31/01/2020,RWE Generation,Tilbury Energy Centre,Battery,Co-located with fossil fuel plant,,100.00,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Tilbury Power Station, Tilbury, Thurrock",Essex,Eastern,England,DA12 2QA,568868,176498,The Planning Inspectorate - National Infrastructure,,,,,,,20/02/2018,,,,,,,09/03/2018,,,,,,,,planning,100
,7051,17/09/2020,Pivot Power,Ellbridge Lane,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Sub Station, Ellbridge Lane, Hatt, Saltash, Cornwall",Cornwall,South West,England,PL12 6PU,240358,63237,Cornwall Council,PA19/03935,,,,,,03/06/2019,,,,,,,28/08/2019,,,,28/08/2022,,,,planning,49
,7053,14/11/2019,UK Battery Storage,Elland Storage Project,Battery,Stand-alone Storage,,49.90,,,,,,,,,Planning Permission Granted,Awaiting Construction,"Land To South Of, Lowfields Way, Lowfields Business Park, Elland",West Yorkshire,Yorkshire and Humber,England,HX5 9DA,411689,421815,Calderdale Metropolitan Borough Council,18/00478/192,,,,,,17/04/2018,,,,,,,01/06/2018,,,,,,,,planning,49
